user,tweet1,tweet2,tweet3,tweet4,tweet5,tweet6,tweet7,tweet8,tweet9,tweet10,ratings
comelywomen,RT @alicecooper: For the one's making all that noise... Celebrate 50 years of School's Out with new merch line. Now available at https://t.…,"RT @alicecooper: The #HollywoodVampires are BACK!! We're coming to Germany &amp; Luxembourg Summer 2023!

TIX on sale June 27 @ 11:00AM CET

Fo…","RT @bretmichaels: This is awesome, Vince &amp; Tommy watching us play. All the bands are getting along and catching each other’s sets. Each ban…",RT @CaptSandyYawn: Great catching up with @Andy at #CannesLions2022! Love the @BravoTV Family! #Pride2022 https://t.co/I6vx6DfMHu,RT @PopBase: Doja Cat looks gorgeous in new photo. https://t.co/aZFYP2RoFO,RT @thewavecheckk: Gillie and Chris Brown shooting hoops 👀🏀 https://t.co/ZRfxnrl6VO,RT @tamrajudgeOC: I hope you enjoy this new season of #RHUGT. People keep saying it reminds them of 'old school' Housewives. We have such a…,"RT @GQMagazine: Brad Pitt on attending Alcoholics Anonymous: “I had a really cool men’s group here that was really private and selective, s…",RT @E40: It’s our anniversary! Today we celebrate 31 yrs of marriage 37 yrs together Mr. &amp; Mrs. Stevens  #blacklove  #mysoulmate #realvalle…,RT @tamrajudgeOC: I hope you enjoy this new season of #RHUGT. People keep saying it reminds them of 'old school' Housewives. We have such a…,0.0
Mort_Rainey777,@AllenKi63716026 @muddyinpb @MisterChipT @Ohio_buckeye_us https://t.co/aYUmTFXTJ8,@indiatvnews @D4depp https://t.co/5q5ApbRXIo,"RT @indiatvnews: A leaked video, claimed to be from #JohnnyDepp's apartment, shows #AmberHeard hugging and 'kissing' a mystery woman. 
http…","RT @0517pomta: Some people who know both Johnny and Amber call Amber 'Mike Tyson'.

Her victim seemed to have been her punching bag on a da…","RT @PrinConsuella_: Camille is a person who is always smiling, full of life, kind, intelligent, close to her family, and passionate about h…","RT @Lee351T: Hey @elonmusk ,you own the company, where is our edit button?",RT @TrautmannRn: @EndruVitak @55_sophya @Nayecuevas9 @dreamadcollins @Mort_Rainey777 @HeleneJ68 @TraceyHigginson @davis_mistica @ravaiolipa…,"RT @UpdatesLilyRose: Lily-Rose with a fan in Los Angeles recently! 😍💖

Thanks @ emmajanefab on ig for sharing xx
(2) https://t.co/azPUERi9B8","RT @lilmissaurora1: “When things get physical we have to separate… for an hour or a few hours or whatever…” 
Her “No.” 
He never got a chan…","RT @DeppUruguay: ¡Buenas noches! 🌙🥰

#johnnydepp https://t.co/IjPiIbGkw3",0.0
Ms72128,RT @ThumperExplores: I can't believe Johnny Depp penned a foreword for my next children's book! We're beyond grateful to Johnny for his kin…,RT @yaracalcagno: Difundi. La KiKi buscando hogar responsable de 4meses aprox información 04127374522 se encuentra en Caracas municipio Cha…,RT @TranslatedCats: I'll take care of it. https://t.co/MejlpRUU4K,RT @PerroUsuario: Palabra mágica que nos llena de alegría 🙏👏👏 https://t.co/DCXyFQ3tpo,RT @PerroUsuario: RESCATADAAAAA la pequeña de Acarigua 🙏👏👏 ¡Ahora solo pedimos por su pronta mejoría! RT @maritesotelo: Actualizacion Alelu…,RT @PerroUsuario: Una información que seguro trae tranquilidad a muchos... ¡¡Ya rescatada!! https://t.co/tp56bz567Q,RT @Naturalezaymas_: Así se defiende un armadillo…  https://t.co/9Q0UcvV9MD,"RT @legnarrow: Recorriendo los pasillos del Hospital Regional de Concepción encontramos a Kenia, una dogo argentino que siguió a su dueña,…","RT @MirniaT: #SCOOBY con el Dr derrochando físico, a principios de semana se va a operar de nuevo en el nombre de Dios y los q lo quieran a…",RT @PerroUsuario: RESCATADAAAAA la pequeña de Acarigua 🙏👏👏 ¡Ahora solo pedimos por su pronta mejoría! RT @maritesotelo: Actualizacion Alelu…,0.0
DJusticeforj,RT @rum_gone: @la77465262 https://t.co/OWvtQkfbiY,RT @la77465262: #AmberHeardisAnAbuser and #JohnnyDepp has not been her only victim,RT @LorEssa123456: @andysignore Cara Delevingne - they dated and had parties in the penthouse ! AH and her were on off item from 2014 - 201…,RT @Izze1122: So the ACLU is still backing Amber Heard. Fucking disgusting.,"RT @Noneofthemknew1: WAKE UP - CAROLINE, NO 
new Johnny Depp and Jeff Beck song !!  GIFTS 🎀 https://t.co/dyIwfBvMEA","RT @Izze1122: Apparently they were at TJ Maxx with the defendant and her sister, paying for their shopping https://t.co/7yBDXcjNhR","RT @aryastarkno: Update: among 25 students, all agreed that Heard is an abuser &amp; lied about the allegations. I spoke about the negative imp…","RT @LauraBockov: Exclusive Video: Just finished our livestream but it’s available on my channel

Thank you @aburkhartlaw for breaking down…","RT @An_elf_pirate: “… Probably the wisest is not to do anything. She’s not getting good publicity out of this…. but yes, he could bring ano…",RT @LorEssa123456: @andysignore Cara Delevingne - they dated and had parties in the penthouse ! AH and her were on off item from 2014 - 201…,0.0
mariamaria4848,RT @deppshart: let’s take a moment to appreciate this hair pls &amp; thank u. #JohnnyDepp https://t.co/sIsOS8sjwV,RT @DeppUnHeard: I’d find it to be poetic justice if Johnny Depp were to win a Grammy before he wins an Oscar!!!!,RT @MlSSINGJD: JOHNNY DEPP POSTED SUCH A GOOD DAY FOR SOCIETY https://t.co/52NeM7h6Lb,"RT @roaringrapids22: ""...Money [&amp; success] doesn't change anybody. Money reveals them....I've been revealed. I don't think I've changed, I'…",RT @Stacy85455746: @shum76179 @EthanVanSciver @ThatUmbrella https://t.co/ym3gHDS4oD his YouTube Channel,"RT @shum76179: @EthanVanSciver @ThatUmbrella I would like to join the ""Church of That Umbrella GAWD""  does anyone know where I can attend s…","RT @ThatUmbrella: Bwahahahaha! 

Even a hit piece by Newsweek can't save Amber Heard's paid simp from getting WRECKED by me.","RT @julian76: @ThatUmbrella ""I used ""reached out"" and ""do nothing"" synonymously""",RT @mog1717: @LeaveHerWild182 @ThatUmbrella and like AH uses pledged &amp; donated.,RT @DeppUnHeard: I’d find it to be poetic justice if Johnny Depp were to win a Grammy before he wins an Oscar!!!!,0.0
mgsiglesias1,"#CPIdaPetrobrás #120Assinaturas #MEDOdeLula  #Alckmin: #JBDESMANCHOUoPTismo #CaemMáscaras
CPI da Petrobrás: 120 Ass… https://t.co/xwUJs6be4R","RT @MojahedFudailat: Johnny Depp Team demands Amber Heard to SHUT UP
#JohnnyDepp #AmberHeard #animation 
https://t.co/VKLfZny54e https://t.…","#ObiWanKenobi #Disneyplus #StarWars
They Did What?! Obi Wan Kenobi Review Episode 6 Finale https://t.co/gESiAfOT6Y… https://t.co/TEDfX8ugsa",RT @ArielleScarcell: Yet another detrans man speaking out. Full video here @OnLocals https://t.co/Y8S1rTLgtB https://t.co/jr9PjrKtdF,RT @SydneyLWatson: I'm fed up with how backwards society is. I'm tired of being forced to accommodate the feelings and worldview of the men…,RT @GundamIsHere: https://t.co/kC3kVJXrz0,"RT @PadraoAlexandre: 🆕- A garota propaganda ESG agora tem ""NOVA CARREIRA Com fortuna avaliada em US$ 400 milhões, Bündchen quer se firmar c…",@Anikel3_ bella barba y expresion de los ojos de un hombre hermoso y amigo creativo,"RT @CamargoDireita: Dois delinquentes, o mesmo destino. Perda do mandato por quebra de decoro. A cor da pele nada tem a ver com isso. https…","RT @CamargoDireita: Dois delinquentes, o mesmo destino. Perda do mandato por quebra de decoro. A cor da pele nada tem a ver com isso. https…",0.0
NaswanClaire,"RT @AuntKika: How awful for you #AmberTurd to see such horrific signs outside the courtroom. 

#JusticeServedForJohnnyDepp 
#AmberHeardlsAp…","RT @AuntTeefah: So far caught on cam with Elon, Franco &amp; Cara Delevingne, while still married…but she’s got PTSD so bad ppl can’t touch her…","RT @Lexicutioner22: I mean....yeah.... #AmberHeardDoesNOTSpeakForMe 
#AmberHeardlsALiar #JohnnyDeppGotJustice https://t.co/JrcJc3P0C8","RT @natesaver: Johnny has moved on!

Why can’t Amber? 🤔

“The trial was necessary, but he is happy that it's over… Although he is relieved…",RT @brockwilsonsmom: This is what “moving on” looks like! Amber really needs to let it go and move on. Holding on to it just proves what Dr…,"RT @itsmarinoula: Didn’t #AmberHeard testify in UK that she never had an affair with Cara? #JohnnyDepp wasn't ""just being paranoid"" after a…",RT @arickroxy: Didn’t Amber say something along the lines of “I did everything I could to make the relationship work.” Bringing a bunch of…,RT @geckocooking: นั่งขำวงการเบเบ้ทุกวัน55555 https://t.co/e8FbrSiy6N,RT @KomsakAddams: อยากให้ทุกคนรู้เท่าทันอีแก็งค์คอลเซ็นเตอร์โดยเฉพาะคนมีอายุ ไม่อยากให้ใครต้องตกเป็นเหยื่ออีพวกเวรพวกนี้,RT @chaokuay_nomsod: จร้าๆๆๆ😌 https://t.co/FoWocSiD9L,0.0
mariamaria4848,RT @deppshart: let’s take a moment to appreciate this hair pls &amp; thank u. #JohnnyDepp https://t.co/sIsOS8sjwV,RT @DeppUnHeard: I’d find it to be poetic justice if Johnny Depp were to win a Grammy before he wins an Oscar!!!!,RT @MlSSINGJD: JOHNNY DEPP POSTED SUCH A GOOD DAY FOR SOCIETY https://t.co/52NeM7h6Lb,"RT @roaringrapids22: ""...Money [&amp; success] doesn't change anybody. Money reveals them....I've been revealed. I don't think I've changed, I'…",RT @Stacy85455746: @shum76179 @EthanVanSciver @ThatUmbrella https://t.co/ym3gHDS4oD his YouTube Channel,"RT @shum76179: @EthanVanSciver @ThatUmbrella I would like to join the ""Church of That Umbrella GAWD""  does anyone know where I can attend s…","RT @ThatUmbrella: Bwahahahaha! 

Even a hit piece by Newsweek can't save Amber Heard's paid simp from getting WRECKED by me.","RT @julian76: @ThatUmbrella ""I used ""reached out"" and ""do nothing"" synonymously""",RT @mog1717: @LeaveHerWild182 @ThatUmbrella and like AH uses pledged &amp; donated.,RT @DeppUnHeard: I’d find it to be poetic justice if Johnny Depp were to win a Grammy before he wins an Oscar!!!!,0.0
betty5678,"RT @ChocChipPony: Johnny wants to be with his fans. 

Something I managed to do in my burnout lol.

#JohnnyDepp #JohnnyDeppWon #Fanart #Art…",RT @Vuelodelcometa: Yas ✌🏻 https://t.co/tOUiJR0AZ2,RT @ToIkienverse: Los Orcos de ‘EL SEÑOR DE LOS ANILLOS: LOS ANILLOS DE PODER’ se ven MUY BIEN 😍 https://t.co/bRQfoEYhQg,@dvdMonedero Parchís!,"RT @Vuelodelcometa: Instagram analógico: ""Ven que te enseño mi muro"". https://t.co/FM7xlSgbbl",@bagualcinefilo @Vuelodelcometa Amén https://t.co/66odbN3j01,RT @Vuelodelcometa: Yo lo quiero. Tú lo quieres. https://t.co/IMdEMgpR8k,"RT @GamesTribune: «No soy rencorosa, pero me encanta dejar claro que me acuerdo de lo que hacéis»

En nuestro próximo relato de @NoviembreN…","RT @NoviembreNoc: Se ha vendío tó en menos de tres días!! Muchísimas gracias!! Nos vemos el viernes en Fuenlabradarks!  ^(;,,;)^ https://t.…","@Vuelodelcometa No deje llorar al bebé; pues ella viene, desde hace centenares de años busca a su hijo. No recuerda… https://t.co/6T39OV16yK",0.0
mrssqueak,"RT @LovinLife35760: Hey @realamberheard this is what a classy, beautiful, educated and a woman that speaks for all  individuals for DV, a w…",RT @natalia9976: Flappy Fish Market @realamberheard stinking up Johnny's elevator!!🤢😂🤮#AmberIsALiar #FlappyFishMarket #CaraDelevingne #elon…,"RT @AuntTeefah: So far caught on cam with Elon, Franco &amp; Cara Delevingne, while still married…but she’s got PTSD so bad ppl can’t touch her…","RT @itsmarinoula: Didn’t #AmberHeard testify in UK that she never had an affair with Cara? #JohnnyDepp wasn't ""just being paranoid"" after a…","RT @palazzo214: @johnmellencamp American cops in [in]action: 

Scenario 1) more than 6 cops hover over a lone arrestee with knee in his bac…",RT @FrahmBrian: @BRMickelsen @johnmellencamp 19 children were slaughtered.  Police had the ability to do something about it but chose to ig…,RT @MaryBalogh: @BRMickelsen @johnmellencamp It’s pretty difficult to parent when your child’s head has been blown off. Clean up your think…,@BRMickelsen @johnmellencamp Parents need to keep their kids alive focker.  dirty language less important than dead children.,RT @andysignore: Weird they cut this portion out of Josh Drew’s testimony 🤔 Josh Drew says Amber Heard had a three way with Elon Musk &amp; Car…,"RT @Mompreneur_of_3: Rember Josh Drew, Amber's friend &amp; married to Rocky at the time lived in the other Penthouse Johnny owned and he said…",0.0
